Done
total_time=2.128478527069092
model1 created. 
 --- model1 size: 11.27 MBs,
 --- Num params: 2.944 mil. 
Training...
Epoch 1, 1/36, training error: 0.366090, testing error: 0.674016
Epoch 2, 2/36, training error: 0.344995, testing error: 0.723156
Epoch 3, 3/36, training error: 0.339239, testing error: 0.681417
Epoch 4, 4/36, training error: 0.334740, testing error: 0.705960
Epoch 5, 5/36, training error: 0.331827, testing error: 0.724768
Epoch 6, 6/36, training error: 0.330228, testing error: 0.719859
Epoch 7, 7/36, training error: 0.327955, testing error: 0.738288
Epoch 8, 8/36, training error: 0.326914, testing error: 0.755608
Epoch 9, 9/36, training error: 0.325470, testing error: 0.704148
Epoch 10, 10/36, training error: 0.324248, testing error: 0.744912
Epoch 11, 11/36, training error: 0.323055, testing error: 0.751220
Epoch 12, 12/36, training error: 0.322800, testing error: 0.740941
Epoch 13, 13/36, training error: 0.322173, testing error: 0.761331
Epoch 14, 14/36, training error: 0.321190, testing error: 0.759233
Epoch 15, 15/36, training error: 0.320397, testing error: 0.751025
Epoch 16, 16/36, training error: 0.320216, testing error: 0.783969
Epoch 17, 17/36, training error: 0.319355, testing error: 0.766608
Epoch 18, 18/36, training error: 0.318949, testing error: 0.769597
Epoch 19, 19/36, training error: 0.320087, testing error: 0.773143
Epoch 20, 20/36, training error: 0.318626, testing error: 0.774848
Epoch 21, 21/36, training error: 0.317817, testing error: 0.770863
Epoch 22, 22/36, training error: 0.317507, testing error: 0.781258
Epoch 23, 23/36, training error: 0.317491, testing error: 0.777962
Epoch 24, 24/36, training error: 0.317189, testing error: 0.765075
Epoch 25, 25/36, training error: 0.317003, testing error: 0.791344
Epoch 26, 26/36, training error: 0.316351, testing error: 0.765795
Epoch 27, 27/36, training error: 0.316924, testing error: 0.775905
Epoch 28, 28/36, training error: 0.315794, testing error: 0.779816
Epoch 29, 29/36, training error: 0.315680, testing error: 0.767061
Epoch 30, 30/36, training error: 0.315742, testing error: 0.783200
Epoch 31, 31/36, training error: 0.315425, testing error: 0.775448
Epoch 32, 32/36, training error: 0.315086, testing error: 0.798574
Epoch 33, 33/36, training error: 0.315138, testing error: 0.775611
Epoch 34, 34/36, training error: 0.315231, testing error: 0.775885
Epoch 35, 1/35, training error: 0.307390, testing error: 0.864347
Epoch 36, 2/35, training error: 0.306979, testing error: 0.799355
Epoch 37, 3/35, training error: 0.306056, testing error: 0.858736
Epoch 38, 4/35, training error: 0.305644, testing error: 0.865850
Epoch 39, 5/35, training error: 0.305404, testing error: 0.857806
Epoch 40, 6/35, training error: 0.305171, testing error: 0.857699
Epoch 41, 7/35, training error: 0.304718, testing error: 0.848284
Epoch 42, 8/35, training error: 0.304509, testing error: 0.849494
Epoch 43, 9/35, training error: 0.304611, testing error: 0.843577
Epoch 44, 10/35, training error: 0.304431, testing error: 0.844132
Epoch 45, 11/35, training error: 0.303915, testing error: 0.854411
Epoch 46, 12/35, training error: 0.303762, testing error: 0.879977
Epoch 47, 13/35, training error: 0.303879, testing error: 0.840661
Epoch 48, 14/35, training error: 0.303716, testing error: 0.858755
Epoch 49, 15/35, training error: 0.303454, testing error: 0.853257
Epoch 50, 16/35, training error: 0.303370, testing error: 0.842974
Epoch 51, 17/35, training error: 0.303207, testing error: 0.838284
Epoch 52, 18/35, training error: 0.303146, testing error: 0.851329
Epoch 53, 19/35, training error: 0.303245, testing error: 0.877140
Epoch 54, 20/35, training error: 0.303045, testing error: 0.857793
Epoch 55, 21/35, training error: 0.302847, testing error: 0.858159
Epoch 56, 22/35, training error: 0.302643, testing error: 0.844857
Epoch 57, 23/35, training error: 0.302669, testing error: 0.833896
Epoch 58, 24/35, training error: 0.302544, testing error: 0.849127
Epoch 59, 25/35, training error: 0.302860, testing error: 0.849814
Epoch 60, 26/35, training error: 0.302352, testing error: 0.839618
Epoch 61, 27/35, training error: 0.302205, testing error: 0.851024
Epoch 62, 28/35, training error: 0.302094, testing error: 0.852001
Epoch 63, 29/35, training error: 0.302182, testing error: 0.830132
Epoch 64, 30/35, training error: 0.302021, testing error: 0.841511
Epoch 65, 31/35, training error: 0.301783, testing error: 0.863268
Epoch 66, 32/35, training error: 0.301766, testing error: 0.854794
Epoch 67, 33/35, training error: 0.301893, testing error: 0.865796
Epoch 68, 1/100, training error: 0.320138, testing error: 0.659792
Epoch 69, 2/100, training error: 0.317808, testing error: 0.634074
Epoch 70, 3/100, training error: 0.318490, testing error: 0.659435
Epoch 71, 4/100, training error: 0.316852, testing error: 0.709203
Epoch 72, 5/100, training error: 0.316022, testing error: 0.661511
Epoch 73, 6/100, training error: 0.316258, testing error: 0.664009
Epoch 74, 7/100, training error: 0.316335, testing error: 0.701496
Epoch 75, 8/100, training error: 0.315719, testing error: 0.708605
Epoch 76, 9/100, training error: 0.315242, testing error: 0.700378
Epoch 77, 10/100, training error: 0.316175, testing error: 0.685976
Epoch 78, 11/100, training error: 0.315420, testing error: 0.710417
Epoch 79, 12/100, training error: 0.314954, testing error: 0.693480
Epoch 80, 13/100, training error: 0.315436, testing error: 0.689636
Epoch 81, 14/100, training error: 0.315573, testing error: 0.717877
Epoch 82, 15/100, training error: 0.315117, testing error: 0.726215
Epoch 83, 16/100, training error: 0.314875, testing error: 0.709903
Epoch 84, 17/100, training error: 0.315308, testing error: 0.698860
Epoch 85, 18/100, training error: 0.314890, testing error: 0.721778
Epoch 86, 19/100, training error: 0.314629, testing error: 0.707831
Epoch 87, 20/100, training error: 0.314994, testing error: 0.688736
Epoch 88, 21/100, training error: 0.314973, testing error: 0.725073
Epoch 89, 22/100, training error: 0.314656, testing error: 0.716712
Epoch 90, 23/100, training error: 0.314584, testing error: 0.705006
Epoch 91, 24/100, training error: 0.315012, testing error: 0.707049
Epoch 92, 25/100, training error: 0.314641, testing error: 0.725000
Epoch 93, 26/100, training error: 0.314367, testing error: 0.707527
Epoch 94, 27/100, training error: 0.314875, testing error: 0.675620
Epoch 95, 28/100, training error: 0.314579, testing error: 0.738673
Epoch 96, 29/100, training error: 0.314386, testing error: 0.713547
Epoch 97, 30/100, training error: 0.314488, testing error: 0.697351
Epoch 98, 31/100, training error: 0.314499, testing error: 0.709853
Epoch 99, 32/100, training error: 0.314479, testing error: 0.719187
Epoch 100, 33/100, training error: 0.314126, testing error: 0.710362
Epoch 101, 34/100, training error: 0.314610, testing error: 0.685333
Epoch 102, 35/100, training error: 0.314402, testing error: 0.734876
Epoch 103, 36/100, training error: 0.314229, testing error: 0.722894
Epoch 104, 37/100, training error: 0.314347, testing error: 0.716196
Epoch 105, 38/100, training error: 0.314387, testing error: 0.733837
Epoch 106, 39/100, training error: 0.314099, testing error: 0.711892
Epoch 107, 40/100, training error: 0.313874, testing error: 0.704419
Epoch 108, 41/100, training error: 0.314330, testing error: 0.703844
Epoch 109, 42/100, training error: 0.314032, testing error: 0.728627
Epoch 110, 43/100, training error: 0.313881, testing error: 0.712705
Epoch 111, 44/100, training error: 0.314133, testing error: 0.703699
Epoch 112, 45/100, training error: 0.314326, testing error: 0.729344
Epoch 113, 46/100, training error: 0.313916, testing error: 0.714862
Epoch 114, 47/100, training error: 0.313705, testing error: 0.710491
Epoch 115, 48/100, training error: 0.314105, testing error: 0.695712
Epoch 116, 49/100, training error: 0.313836, testing error: 0.724061
Epoch 117, 50/100, training error: 0.313618, testing error: 0.711019
Epoch 118, 51/100, training error: 0.313941, testing error: 0.712422
Epoch 119, 52/100, training error: 0.314089, testing error: 0.725913
Epoch 120, 53/100, training error: 0.313818, testing error: 0.709186
Epoch 121, 54/100, training error: 0.313477, testing error: 0.703165
Epoch 122, 55/100, training error: 0.313925, testing error: 0.708094
Epoch 123, 56/100, training error: 0.313688, testing error: 0.710422
Epoch 124, 57/100, training error: 0.313340, testing error: 0.699886
Epoch 125, 58/100, training error: 0.313725, testing error: 0.706461
Epoch 126, 59/100, training error: 0.313985, testing error: 0.729228
Epoch 127, 60/100, training error: 0.313596, testing error: 0.715764
Epoch 128, 61/100, training error: 0.313432, testing error: 0.715557
Epoch 129, 62/100, training error: 0.313700, testing error: 0.697788
Epoch 130, 63/100, training error: 0.313474, testing error: 0.710999
Epoch 131, 64/100, training error: 0.313203, testing error: 0.719092
Epoch 132, 65/100, training error: 0.313645, testing error: 0.682757
Epoch 133, 66/100, training error: 0.313452, testing error: 0.716342
Epoch 134, 67/100, training error: 0.313315, testing error: 0.725117
Epoch 135, 68/100, training error: 0.313271, testing error: 0.702654
Epoch 136, 69/100, training error: 0.313440, testing error: 0.716750
Epoch 137, 70/100, training error: 0.313262, testing error: 0.705013
Epoch 138, 71/100, training error: 0.312956, testing error: 0.724637
Epoch 139, 72/100, training error: 0.313376, testing error: 0.694971
Epoch 140, 73/100, training error: 0.313270, testing error: 0.718368
Epoch 141, 74/100, training error: 0.313090, testing error: 0.725576
Epoch 142, 75/100, training error: 0.313219, testing error: 0.699063
Epoch 143, 76/100, training error: 0.313177, testing error: 0.719599
Epoch 144, 77/100, training error: 0.313030, testing error: 0.716074
Epoch 145, 78/100, training error: 0.312872, testing error: 0.708352
Epoch 146, 79/100, training error: 0.313136, testing error: 0.703302
Epoch 147, 80/100, training error: 0.313084, testing error: 0.720303
Epoch 148, 81/100, training error: 0.312811, testing error: 0.724684
Epoch 149, 82/100, training error: 0.313092, testing error: 0.711763
Epoch 150, 83/100, training error: 0.313111, testing error: 0.710480
Epoch 151, 84/100, training error: 0.312933, testing error: 0.707121
Epoch 152, 85/100, training error: 0.312724, testing error: 0.720486
Epoch 153, 86/100, training error: 0.313081, testing error: 0.700335
Epoch 154, 87/100, training error: 0.312946, testing error: 0.719033
Epoch 155, 88/100, training error: 0.312610, testing error: 0.715926
Epoch 156, 89/100, training error: 0.312949, testing error: 0.708333
Epoch 157, 90/100, training error: 0.313130, testing error: 0.715614
Epoch 158, 91/100, training error: 0.312800, testing error: 0.705987
Epoch 159, 92/100, training error: 0.312640, testing error: 0.714306
Epoch 160, 93/100, training error: 0.312861, testing error: 0.709376
Epoch 161, 94/100, training error: 0.312754, testing error: 0.715110
Epoch 162, 95/100, training error: 0.312437, testing error: 0.714209
Epoch 163, 96/100, training error: 0.312824, testing error: 0.699461
Epoch 164, 97/100, training error: 0.312890, testing error: 0.720313
Epoch 165, 98/100, training error: 0.312604, testing error: 0.714236
Epoch 166, 99/100, training error: 0.312558, testing error: 0.708632
Epoch 167, 100/100, training error: 0.312804, testing error: 0.720478
Done
