In this Ablation study, multiple threads are used to make batches for global training. 10 CPUs are requested and 8 CPUs are used.
Done
Region: 6se_asia
Region: 6se_asia, y1=33, y2=42, x1=32, x2=49
Region: 6se_asia, y1=33, y2=42, x1=32, x2=49
total_time=1.3554556369781494
model1 created. 
 --- model1 size: 38.70 MBs,
 --- Num params: 10.125 mil. 
Training...
Epoch 1, 1/100, training error: 0.391085, testing error: 0.395920
Epoch 2, 2/100, training error: 0.384462, testing error: 0.423202
Epoch 3, 3/100, training error: 0.382522, testing error: 0.433613
Epoch 4, 4/100, training error: 0.382793, testing error: 0.598115
Epoch 5, 5/100, training error: 0.380633, testing error: 0.770597
Epoch 6, 6/100, training error: 0.380873, testing error: 0.609287
Epoch 7, 7/100, training error: 0.379910, testing error: 0.734932
Epoch 8, 8/100, training error: 0.379584, testing error: 2.171524
Epoch 9, 9/100, training error: 0.378585, testing error: 1.025930
Epoch 10, 10/100, training error: 0.377817, testing error: 0.977354
Epoch 11, 11/100, training error: 0.377717, testing error: 0.969276
Epoch 12, 12/100, training error: 0.378531, testing error: 7.420223
Epoch 13, 13/100, training error: 0.377409, testing error: 5.930410
Epoch 14, 14/100, training error: 0.375833, testing error: 9.948156
Epoch 15, 15/100, training error: 0.375370, testing error: 13.800589
Epoch 16, 16/100, training error: 0.374811, testing error: 19.057601
Epoch 17, 17/100, training error: 0.374334, testing error: 320.995565
Epoch 18, 18/100, training error: 0.373860, testing error: 666.989960
Epoch 19, 19/100, training error: 0.372499, testing error: 219.593710
Epoch 20, 20/100, training error: 0.372215, testing error: 422.930899
Epoch 21, 21/100, training error: 0.371179, testing error: 6780.534078
Epoch 22, 22/100, training error: 0.371122, testing error: 30591.431570
Epoch 23, 23/100, training error: 0.370435, testing error: 10513.345592
Epoch 24, 24/100, training error: 0.370842, testing error: 544516.697961
Epoch 25, 25/100, training error: 0.371093, testing error: 163000.644740
Epoch 26, 26/100, training error: 0.369548, testing error: 551635.861061
Epoch 27, 27/100, training error: 0.369050, testing error: 328193.450255
Epoch 28, 28/100, training error: 0.368364, testing error: 2500396.772353
Epoch 29, 29/100, training error: 0.367719, testing error: 1034128.001848
Epoch 30, 30/100, training error: 0.367234, testing error: 29049.583166
Epoch 31, 31/100, training error: 0.366674, testing error: 53909.611018
Epoch 32, 32/100, training error: 0.367892, testing error: 8849.885932
Epoch 33, 33/100, training error: 0.366160, testing error: 3665.558456
Epoch 34, 34/100, training error: 0.365691, testing error: 5490.866155
Epoch 35, 35/100, training error: 0.365525, testing error: 14300.725168
Epoch 36, 36/100, training error: 0.364327, testing error: 19161.405370
Epoch 37, 37/100, training error: 0.364153, testing error: 39079.791617
Epoch 38, 38/100, training error: 0.363601, testing error: 135408.855259
Epoch 39, 39/100, training error: 0.364109, testing error: 360400.917387
Epoch 40, 40/100, training error: 0.362944, testing error: 82588.074969
Epoch 41, 41/100, training error: 0.362294, testing error: 169078.557106
Epoch 42, 42/100, training error: 0.362692, testing error: 799781.419618
Epoch 43, 43/100, training error: 0.361593, testing error: 111147.908066
Epoch 44, 44/100, training error: 0.361655, testing error: 77525.225601
Epoch 45, 45/100, training error: 0.360728, testing error: 3226.486849
Epoch 46, 46/100, training error: 0.368866, testing error: 2707083355.672807
Epoch 47, 47/100, training error: 0.364053, testing error: 948252322.340561
Epoch 48, 48/100, training error: 0.362280, testing error: 416440876.192699
Epoch 49, 49/100, training error: 0.362367, testing error: 98375094.812317
Epoch 50, 50/100, training error: 0.360036, testing error: 60645809.775806
Epoch 51, 51/100, training error: 0.359675, testing error: 47101702.519049
Epoch 52, 52/100, training error: 0.359093, testing error: 21588483.093400
Epoch 53, 53/100, training error: 0.358770, testing error: 2103252.211752
Epoch 54, 54/100, training error: 0.358230, testing error: 3057440.799379
Epoch 55, 55/100, training error: 0.357693, testing error: 1662330.125168
Epoch 56, 56/100, training error: 0.358443, testing error: 1195382.537199
Epoch 57, 57/100, training error: 0.356454, testing error: 1566081.402130
Epoch 58, 58/100, training error: 0.356029, testing error: 1735187.437424
Epoch 59, 59/100, training error: 0.355897, testing error: 1530320.089192
Epoch 60, 60/100, training error: 0.355176, testing error: 685537.038877
Epoch 61, 61/100, training error: 0.354565, testing error: 737871.969405
Epoch 62, 62/100, training error: 0.354185, testing error: 581157.568096
Epoch 63, 63/100, training error: 0.354818, testing error: 102533.690318
Epoch 64, 64/100, training error: 0.353077, testing error: 71402.981250
Epoch 65, 65/100, training error: 0.352670, testing error: 127203.023951
Epoch 66, 66/100, training error: 0.352946, testing error: 65228.905980
Epoch 67, 67/100, training error: 0.351603, testing error: 103622.618715
Epoch 68, 68/100, training error: 0.351159, testing error: 24681.054686
Epoch 69, 69/100, training error: 0.350447, testing error: 14304.580931
Epoch 70, 70/100, training error: 0.350893, testing error: 15026.914511
Epoch 71, 71/100, training error: 0.349441, testing error: 10065.643917
Epoch 72, 72/100, training error: 0.349271, testing error: 2545.502784
Epoch 73, 73/100, training error: 0.349715, testing error: 1328.514556
Epoch 74, 74/100, training error: 0.348112, testing error: 4552.862105
Epoch 75, 75/100, training error: 0.347707, testing error: 340.891182
Epoch 76, 76/100, training error: 0.347191, testing error: 391.147423
Epoch 77, 77/100, training error: 0.346927, testing error: 2473.603742
Epoch 78, 78/100, training error: 0.346027, testing error: 607.589098
Epoch 79, 79/100, training error: 0.345829, testing error: 120.208061
Epoch 80, 80/100, training error: 0.346451, testing error: 363.696352
Epoch 81, 81/100, training error: 0.344672, testing error: 1358.946217
Epoch 82, 82/100, training error: 0.343992, testing error: 173.958600
Epoch 83, 83/100, training error: 0.343895, testing error: 44.337636
Epoch 84, 84/100, training error: 0.343166, testing error: 121.293342
Epoch 85, 85/100, training error: 0.342600, testing error: 267.282961
Epoch 86, 86/100, training error: 0.342515, testing error: 11.094116
Epoch 87, 87/100, training error: 0.342688, testing error: 31.127785
Epoch 88, 88/100, training error: 0.341011, testing error: 15.369004
Epoch 89, 89/100, training error: 0.340959, testing error: 3.634480
Epoch 90, 90/100, training error: 0.340655, testing error: 3.154220
Epoch 91, 91/100, training error: 0.339662, testing error: 13.805236
Epoch 92, 92/100, training error: 0.339312, testing error: 5.450890
Epoch 93, 93/100, training error: 0.338906, testing error: 4.211295
Epoch 94, 94/100, training error: 0.339022, testing error: 9.415523
Epoch 95, 95/100, training error: 0.337698, testing error: 4.319874
Epoch 96, 96/100, training error: 0.337834, testing error: 4.300624
Epoch 97, 97/100, training error: 0.337673, testing error: 1.922088
Epoch 98, 98/100, training error: 0.336360, testing error: 7.701728
Epoch 99, 99/100, training error: 0.336524, testing error: 4.012474
Epoch 100, 100/100, training error: 0.336094, testing error: 2.458880
Done
