In this Ablation study, multiple threads are used to make batches for global training. 10 CPUs are requested and 8 CPUs are used.
Done
Region: 7natlantic
Region: 7natlantic, y1=31, y2=44, x1=112, x2=124
Region: 7natlantic, y1=31, y2=44, x1=112, x2=124
total_time=1.3303899765014648
model1 created. 
 --- model1 size: 38.70 MBs,
 --- Num params: 10.125 mil. 
Training...
Epoch 1, 1/100, training error: 0.293157, testing error: 0.287056
Epoch 2, 2/100, training error: 0.289075, testing error: 0.307122
Epoch 3, 3/100, training error: 0.287911, testing error: 0.318710
Epoch 4, 4/100, training error: 0.287458, testing error: 0.309640
Epoch 5, 5/100, training error: 0.287377, testing error: 0.373741
Epoch 6, 6/100, training error: 0.287028, testing error: 1.587821
Epoch 7, 7/100, training error: 0.286322, testing error: 10.271088
Epoch 8, 8/100, training error: 0.286583, testing error: 256.486490
Epoch 9, 9/100, training error: 0.286191, testing error: 281.038346
Epoch 10, 10/100, training error: 0.285481, testing error: 130.940719
Epoch 11, 11/100, training error: 0.285339, testing error: 142.445060
Epoch 12, 12/100, training error: 0.285168, testing error: 28721.301220
Epoch 13, 13/100, training error: 0.285047, testing error: 2311.870556
Epoch 14, 14/100, training error: 0.284457, testing error: 4284.081343
Epoch 15, 15/100, training error: 0.284822, testing error: 10972.769317
Epoch 16, 16/100, training error: 0.284400, testing error: 7990.196650
Epoch 17, 17/100, training error: 0.283861, testing error: 12889.961472
Epoch 18, 18/100, training error: 0.283959, testing error: 12402.186238
Epoch 19, 19/100, training error: 0.284221, testing error: 5757.843674
Epoch 20, 20/100, training error: 0.283895, testing error: 7.487146
Epoch 21, 21/100, training error: 0.283181, testing error: 205.531962
Epoch 22, 22/100, training error: 0.283447, testing error: 512.066971
Epoch 23, 23/100, training error: 0.283079, testing error: 3783.383099
Epoch 24, 24/100, training error: 0.282405, testing error: 21327.639510
Epoch 25, 25/100, training error: 0.282713, testing error: 470233.096262
Epoch 26, 26/100, training error: 0.282396, testing error: 388230.887961
Epoch 27, 27/100, training error: 0.282029, testing error: 94639.217512
Epoch 28, 28/100, training error: 0.281557, testing error: 45929.294637
Epoch 29, 29/100, training error: 0.281588, testing error: 728270.481079
Epoch 30, 30/100, training error: 0.281241, testing error: 12654852.576570
Epoch 31, 31/100, training error: 0.281600, testing error: 138546.354780
Epoch 32, 32/100, training error: 0.281241, testing error: 20719.661133
Epoch 33, 33/100, training error: 0.280689, testing error: 1101.109199
Epoch 34, 34/100, training error: 0.280343, testing error: 658.012977
Epoch 35, 35/100, training error: 0.280226, testing error: 1015.653759
Epoch 36, 36/100, training error: 0.280056, testing error: 1435.462917
Epoch 37, 37/100, training error: 0.279616, testing error: 5072.902119
Epoch 38, 38/100, training error: 0.279143, testing error: 5287.063063
Epoch 39, 39/100, training error: 0.279251, testing error: 7809.588708
Epoch 40, 40/100, training error: 0.278876, testing error: 26141.212882
Epoch 41, 41/100, training error: 0.278364, testing error: 50679.997847
Epoch 42, 42/100, training error: 0.278354, testing error: 37135.434115
Epoch 43, 43/100, training error: 0.278095, testing error: 64090.240375
Epoch 44, 44/100, training error: 0.277620, testing error: 54835.485413
Epoch 45, 45/100, training error: 0.277097, testing error: 54055.480187
Epoch 46, 46/100, training error: 0.277135, testing error: 105726.350947
Epoch 47, 47/100, training error: 0.276845, testing error: 29196.889712
Epoch 48, 48/100, training error: 0.276182, testing error: 27701.890745
