In this Ablation study, multiple threads are used to make batches for global training. 10 CPUs are requested and 8 CPUs are used.
Done
Region: 8npacific
Region: 8npacific, y1=27, y2=47, x1=67, x2=87
Region: 8npacific, y1=27, y2=47, x1=67, x2=87
total_time=1.5554478168487549
model1 created. 
 --- model1 size: 38.70 MBs,
 --- Num params: 10.125 mil. 
Training...
Epoch 1, 1/100, training error: 0.313909, testing error: 0.381686
Epoch 2, 2/100, training error: 0.309593, testing error: 0.387601
Epoch 3, 3/100, training error: 0.308417, testing error: 0.459064
Epoch 4, 4/100, training error: 0.307367, testing error: 0.441352
Epoch 5, 5/100, training error: 0.306485, testing error: 1.046925
Epoch 6, 6/100, training error: 0.305843, testing error: 0.517890
Epoch 7, 7/100, training error: 0.304278, testing error: 0.546291
Epoch 8, 8/100, training error: 0.304205, testing error: 8.416378
Epoch 9, 9/100, training error: 0.303381, testing error: 40.371737
Epoch 10, 10/100, training error: 0.302360, testing error: 92.810815
Epoch 11, 11/100, training error: 0.301794, testing error: 141.922833
Epoch 12, 12/100, training error: 0.301606, testing error: 98.662566
Epoch 13, 13/100, training error: 0.301209, testing error: 297.979081
Epoch 14, 14/100, training error: 0.300010, testing error: 807.581518
Epoch 15, 15/100, training error: 0.300313, testing error: 2818.476835
Epoch 16, 16/100, training error: 0.299997, testing error: 1630634.987826
Epoch 17, 17/100, training error: 0.299033, testing error: 562955.136746
Epoch 18, 18/100, training error: 0.298814, testing error: 97185.733073
Epoch 19, 19/100, training error: 0.298398, testing error: 73471.865891
Epoch 20, 20/100, training error: 0.297798, testing error: 60050.646736
Epoch 21, 21/100, training error: 0.297014, testing error: 21372.228150
Epoch 22, 22/100, training error: 0.297167, testing error: 289525.262461
Epoch 23, 23/100, training error: 0.296889, testing error: 101939.030280
Epoch 24, 24/100, training error: 0.295831, testing error: 6791.169670
Epoch 25, 25/100, training error: 0.295829, testing error: 57509.788255
Epoch 26, 26/100, training error: 0.295352, testing error: 636559.912240
Epoch 27, 27/100, training error: 0.294882, testing error: 100158.281889
Epoch 28, 28/100, training error: 0.294244, testing error: 136993.571927
Epoch 29, 29/100, training error: 0.294437, testing error: 533521.774500
Epoch 30, 30/100, training error: 0.293831, testing error: 117188.448361
Epoch 31, 31/100, training error: 0.292892, testing error: 35534.304111
Epoch 32, 32/100, training error: 0.293161, testing error: 225933.362906
Epoch 33, 33/100, training error: 0.292466, testing error: 199778.961105
Epoch 34, 34/100, training error: 0.291994, testing error: 27654.745925
Epoch 35, 35/100, training error: 0.291444, testing error: 28920.870905
Epoch 36, 36/100, training error: 0.291393, testing error: 57680.101890
