In this Ablation study, multiple threads are used to make batches for global training. 10 CPUs are requested and 8 CPUs are used.
Done
total_time=2.0458967685699463
model1 created. 
 --- model1 size: 11.27 MBs,
 --- Num params: 2.944 mil. 
model1 created. 
 --- model1 size: 11.27 MBs,
 --- Num params: 2.944 mil. 
Training...
Epoch 68, 1/100, training error: 0.320138, testing error: 0.659792
Epoch 69, 2/100, training error: 0.317808, testing error: 0.634074
Epoch 70, 3/100, training error: 0.318490, testing error: 0.659435
Epoch 71, 4/100, training error: 0.316852, testing error: 0.709203
Epoch 72, 5/100, training error: 0.316022, testing error: 0.661511
Epoch 73, 6/100, training error: 0.316258, testing error: 0.664009
Epoch 74, 7/100, training error: 0.316335, testing error: 0.701496
Epoch 75, 8/100, training error: 0.315719, testing error: 0.708605
Epoch 76, 9/100, training error: 0.315242, testing error: 0.700378
Epoch 77, 10/100, training error: 0.316175, testing error: 0.685976
Epoch 78, 11/100, training error: 0.315420, testing error: 0.710417
Epoch 79, 12/100, training error: 0.314954, testing error: 0.693480
Epoch 80, 13/100, training error: 0.315436, testing error: 0.689636
Epoch 81, 14/100, training error: 0.315573, testing error: 0.717877
Epoch 82, 15/100, training error: 0.315117, testing error: 0.726215
Epoch 83, 16/100, training error: 0.314875, testing error: 0.709903
Epoch 84, 17/100, training error: 0.315308, testing error: 0.698860
Epoch 85, 18/100, training error: 0.314890, testing error: 0.721778
Epoch 86, 19/100, training error: 0.314629, testing error: 0.707831
Epoch 87, 20/100, training error: 0.314994, testing error: 0.688736
Epoch 88, 21/100, training error: 0.314973, testing error: 0.725073
Epoch 89, 22/100, training error: 0.314656, testing error: 0.716712
Epoch 90, 23/100, training error: 0.314584, testing error: 0.705006
Epoch 91, 24/100, training error: 0.315012, testing error: 0.707049
Epoch 92, 25/100, training error: 0.314641, testing error: 0.725000
Epoch 93, 26/100, training error: 0.314367, testing error: 0.707527
Epoch 94, 27/100, training error: 0.314875, testing error: 0.675620
Epoch 95, 28/100, training error: 0.314579, testing error: 0.738673
Epoch 96, 29/100, training error: 0.314386, testing error: 0.713547
Epoch 97, 30/100, training error: 0.314488, testing error: 0.697351
Epoch 98, 31/100, training error: 0.314499, testing error: 0.709853
Epoch 99, 32/100, training error: 0.314479, testing error: 0.719187
Epoch 100, 33/100, training error: 0.314126, testing error: 0.710362
Epoch 101, 34/100, training error: 0.314610, testing error: 0.685333
Epoch 102, 35/100, training error: 0.314402, testing error: 0.734876
Epoch 103, 36/100, training error: 0.314229, testing error: 0.722894
Epoch 104, 37/100, training error: 0.314347, testing error: 0.716196
Epoch 105, 38/100, training error: 0.314387, testing error: 0.733837
Epoch 106, 39/100, training error: 0.314099, testing error: 0.711892
Epoch 107, 40/100, training error: 0.313874, testing error: 0.704419
Epoch 108, 41/100, training error: 0.314330, testing error: 0.703844
Epoch 109, 42/100, training error: 0.314032, testing error: 0.728627
Epoch 110, 43/100, training error: 0.313881, testing error: 0.712705
