NGPUS = 1
Dataset class defined
train batch size = 40
validation batch size = 40
Region: 2scand
Region: 2scand, y1=45, y2=58, x1=0, x2=12
Region: 2scand, y1=45, y2=58, x1=0, x2=12
setting num_workers=8 for data loading
model1 created. 
 --- model1 size: 43.37 MBs,
 --- Num params: 11.351 mil. 
launching cyclic schedule from 1e-5 to 1e-3 over 50 cycles
Model created
Training...
Epoch 1, 1/100, training error: 0.424185, testing error: 0.468305
Epoch 2, 2/100, training error: 0.415610, testing error: 0.463731
Epoch 3, 3/100, training error: 0.414140, testing error: 0.454858
Epoch 4, 4/100, training error: 0.410779, testing error: 0.456722
Epoch 5, 5/100, training error: 0.410928, testing error: 0.457774
Epoch 6, 6/100, training error: 0.408542, testing error: 0.449071
Epoch 7, 7/100, training error: 0.405952, testing error: 0.441306
Epoch 8, 8/100, training error: 0.404833, testing error: 0.443137
Epoch 9, 9/100, training error: 0.403176, testing error: 0.442461
Epoch 10, 10/100, training error: 0.402568, testing error: 0.436190
Epoch 11, 11/100, training error: 0.401022, testing error: 0.433287
Epoch 12, 12/100, training error: 0.401742, testing error: 0.438428
Epoch 13, 13/100, training error: 0.399600, testing error: 0.432928
Epoch 14, 14/100, training error: 0.398400, testing error: 0.435771
Epoch 15, 15/100, training error: 0.396221, testing error: 0.429407
Epoch 16, 16/100, training error: 0.395463, testing error: 0.425197
Epoch 17, 17/100, training error: 0.394006, testing error: 0.443469
Epoch 18, 18/100, training error: 0.393351, testing error: 0.437334
Epoch 19, 19/100, training error: 7.924456, testing error: 0.432288
Epoch 20, 20/100, training error: 0.400644, testing error: 0.426856
Epoch 21, 21/100, training error: 0.433632, testing error: 0.441396
Epoch 22, 22/100, training error: 0.401047, testing error: 0.426738
Epoch 23, 23/100, training error: 0.398455, testing error: 0.425753
Epoch 24, 24/100, training error: 0.397046, testing error: 0.424273
Epoch 25, 25/100, training error: 0.399255, testing error: 0.425522
Epoch 26, 26/100, training error: 1.710024, testing error: 0.425122
Epoch 27, 27/100, training error: 0.396914, testing error: 0.421464
Epoch 28, 28/100, training error: 0.394265, testing error: 0.421975
Epoch 29, 29/100, training error: 0.394093, testing error: 0.424961
Epoch 30, 30/100, training error: 0.392650, testing error: 0.417864
Epoch 31, 31/100, training error: 0.392299, testing error: 0.417090
Epoch 32, 32/100, training error: 0.390748, testing error: 0.416687
Epoch 33, 33/100, training error: 0.391341, testing error: 0.416156
Epoch 34, 34/100, training error: 0.389931, testing error: 0.414861
Epoch 35, 35/100, training error: 0.387938, testing error: 0.412625
Epoch 36, 36/100, training error: 0.387833, testing error: 0.420821
Epoch 37, 37/100, training error: 0.386409, testing error: 0.414018
Epoch 38, 38/100, training error: 0.387320, testing error: 0.412543
Epoch 39, 39/100, training error: 0.386477, testing error: 0.413616
Epoch 40, 40/100, training error: 0.396620, testing error: 0.416703
Epoch 41, 41/100, training error: 0.385048, testing error: 0.409614
Epoch 42, 42/100, training error: 0.387608, testing error: 0.412915
Epoch 43, 43/100, training error: 0.386528, testing error: 0.415097
Epoch 44, 44/100, training error: 0.383577, testing error: 0.408961
Epoch 45, 45/100, training error: 0.388660, testing error: 0.411169
Epoch 46, 46/100, training error: 0.383470, testing error: 0.408353
Epoch 47, 47/100, training error: 0.381420, testing error: 0.407521
Epoch 48, 48/100, training error: 0.384574, testing error: 0.412767
Epoch 49, 49/100, training error: 0.383599, testing error: 0.414549
Epoch 50, 50/100, training error: 0.384787, testing error: 0.406480
Epoch 51, 51/100, training error: 0.383177, testing error: 0.406887
Epoch 52, 52/100, training error: 0.385646, testing error: 0.419695
Epoch 53, 53/100, training error: 0.388534, testing error: 0.410355
Epoch 54, 54/100, training error: 0.383812, testing error: 0.407867
Epoch 55, 55/100, training error: 0.382577, testing error: 0.408958
Epoch 56, 56/100, training error: 0.381764, testing error: 0.409289
Epoch 57, 57/100, training error: 0.383362, testing error: 0.407706
