NGPUS = 1
Dataset class defined
train batch size = 40
validation batch size = 40
Region: 3himalaya
Region: 3himalaya, y1=41, y2=54, x1=26, x2=44
Region: 3himalaya, y1=41, y2=54, x1=26, x2=44
setting num_workers=8 for data loading
model1 created. 
 --- model1 size: 43.37 MBs,
 --- Num params: 11.351 mil. 
launching cyclic schedule from 1e-5 to 1e-3 over 50 cycles
Model created
Training...
Epoch 1, 1/100, training error: 0.493292, testing error: 0.499365
Epoch 2, 2/100, training error: 0.472634, testing error: 0.467757
Epoch 3, 3/100, training error: 0.466124, testing error: 0.465969
Epoch 4, 4/100, training error: 0.457445, testing error: 0.448562
Epoch 5, 5/100, training error: 0.451514, testing error: 0.445662
Epoch 6, 6/100, training error: 0.445723, testing error: 0.452709
Epoch 7, 7/100, training error: 0.439510, testing error: 0.428527
Epoch 8, 8/100, training error: 0.434512, testing error: 0.435161
Epoch 9, 9/100, training error: 0.427494, testing error: 0.417311
Epoch 10, 10/100, training error: 0.422576, testing error: 0.425080
Epoch 11, 11/100, training error: 0.416417, testing error: 0.412429
Epoch 12, 12/100, training error: 0.411661, testing error: 0.402205
Epoch 13, 13/100, training error: 0.407002, testing error: 0.407347
Epoch 14, 14/100, training error: 0.402342, testing error: 0.391129
Epoch 15, 15/100, training error: 0.399728, testing error: 0.399979
Epoch 16, 16/100, training error: 0.395274, testing error: 0.389136
Epoch 17, 17/100, training error: 0.395905, testing error: 0.393704
Epoch 18, 18/100, training error: 0.389262, testing error: 0.389954
Epoch 19, 19/100, training error: 0.386281, testing error: 0.378835
Epoch 20, 20/100, training error: 0.384491, testing error: 0.402751
Epoch 21, 21/100, training error: 0.382635, testing error: 0.374259
Epoch 22, 22/100, training error: 0.380540, testing error: 0.383678
Epoch 23, 23/100, training error: 0.376331, testing error: 0.378144
Epoch 24, 24/100, training error: 0.375114, testing error: 0.376237
Epoch 25, 25/100, training error: 0.386336, testing error: 0.380643
Epoch 26, 26/100, training error: 0.373572, testing error: 0.365320
Epoch 27, 27/100, training error: 0.371285, testing error: 0.375859
Epoch 28, 28/100, training error: 0.368593, testing error: 0.365933
Epoch 29, 29/100, training error: 0.367307, testing error: 0.370752
