NGPUS = 1
Dataset class defined
train batch size = 40
validation batch size = 40
Region: 5south_ocn
Region: 5south_ocn, y1=8, y2=17, x1=10, x2=25
Region: 5south_ocn, y1=8, y2=17, x1=10, x2=25
setting num_workers=8 for data loading
model1 created. 
 --- model1 size: 43.37 MBs,
 --- Num params: 11.351 mil. 
launching cyclic schedule from 1e-5 to 1e-3 over 50 cycles
Model created
Training...
Epoch 1, 1/100, training error: 0.398094, testing error: 0.438920
Epoch 2, 2/100, training error: 0.390505, testing error: 0.423989
Epoch 3, 3/100, training error: 0.390064, testing error: 0.432008
Epoch 4, 4/100, training error: 0.387633, testing error: 0.417987
Epoch 5, 5/100, training error: 0.384085, testing error: 0.402764
Epoch 6, 6/100, training error: 0.378824, testing error: 0.404932
Epoch 7, 7/100, training error: 0.372791, testing error: 0.396125
Epoch 8, 8/100, training error: 0.374575, testing error: 0.399235
Epoch 9, 9/100, training error: 0.367415, testing error: 0.396196
Epoch 10, 10/100, training error: 0.366563, testing error: 0.389565
Epoch 11, 11/100, training error: 0.364047, testing error: 0.388442
Epoch 12, 12/100, training error: 0.363344, testing error: 0.406346
Epoch 13, 13/100, training error: 0.365839, testing error: 0.386921
Epoch 14, 14/100, training error: 0.358860, testing error: 0.371583
Epoch 15, 15/100, training error: 0.358674, testing error: 0.388731
Epoch 16, 16/100, training error: 0.355634, testing error: 0.385130
Epoch 17, 17/100, training error: 0.354182, testing error: 0.374746
Epoch 18, 18/100, training error: 0.353651, testing error: 0.375436
Epoch 19, 19/100, training error: 0.350093, testing error: 0.366378
Epoch 20, 20/100, training error: 0.350993, testing error: 0.376403
Epoch 21, 21/100, training error: 0.348359, testing error: 0.359931
Epoch 22, 22/100, training error: 0.347964, testing error: 0.371816
Epoch 23, 23/100, training error: 0.346790, testing error: 0.368907
Epoch 24, 24/100, training error: 0.346993, testing error: 0.362642
Epoch 25, 25/100, training error: 0.345621, testing error: 0.371463
Epoch 26, 26/100, training error: 0.342015, testing error: 0.359164
Epoch 27, 27/100, training error: 0.345797, testing error: 0.367896
Epoch 28, 28/100, training error: 0.348844, testing error: 0.363875
Epoch 29, 29/100, training error: 0.365457, testing error: 0.366279
Epoch 30, 30/100, training error: 0.347763, testing error: 0.368880
Epoch 31, 31/100, training error: 0.343048, testing error: 0.355117
Epoch 32, 32/100, training error: 0.343567, testing error: 0.367013
Epoch 33, 33/100, training error: 0.340817, testing error: 0.348572
Epoch 34, 34/100, training error: 0.339799, testing error: 0.364177
Epoch 35, 35/100, training error: 0.338795, testing error: 0.353287
Epoch 36, 36/100, training error: 0.342748, testing error: 0.359429
Epoch 37, 37/100, training error: 0.341585, testing error: 0.358849
Epoch 38, 38/100, training error: 0.337873, testing error: 0.349733
Epoch 39, 39/100, training error: 0.338766, testing error: 0.358970
Epoch 40, 40/100, training error: 0.335909, testing error: 0.349350
Epoch 41, 41/100, training error: 0.335924, testing error: 0.355056
Epoch 42, 42/100, training error: 0.335901, testing error: 0.354505
Epoch 43, 43/100, training error: 0.333982, testing error: 0.351177
Epoch 44, 44/100, training error: 0.335728, testing error: 0.360461
Epoch 45, 45/100, training error: 0.332689, testing error: 0.349103
Epoch 46, 46/100, training error: 0.333739, testing error: 0.356749
Epoch 47, 47/100, training error: 0.339227, testing error: 0.355448
Epoch 48, 48/100, training error: 0.335356, testing error: 0.351841
Epoch 49, 49/100, training error: 0.333626, testing error: 0.353848
Epoch 50, 50/100, training error: 0.331306, testing error: 0.347799
Epoch 51, 51/100, training error: 0.332791, testing error: 0.359047
