NGPUS = 1
Dataset class defined
train batch size = 40
validation batch size = 40
total_time=2.3494043350219727
model1 created. 
 --- model1 size: 24.31 MBs,
 --- Num params: 6.358 mil. 
Model created
Training...
Epoch 1, 1/100, training error: 0.608726, testing error: 0.571515
Epoch 2, 2/100, training error: 0.589848, testing error: 0.529374
Epoch 3, 3/100, training error: 0.559921, testing error: 0.542685
Epoch 4, 4/100, training error: 0.547034, testing error: 0.518054
Epoch 5, 5/100, training error: 0.536234, testing error: 0.497432
Epoch 6, 6/100, training error: 0.535789, testing error: 0.493981
Epoch 7, 7/100, training error: 0.528604, testing error: 0.496843
Epoch 8, 8/100, training error: 0.528871, testing error: 0.505445
Epoch 9, 9/100, training error: 0.526290, testing error: 0.486026
Epoch 10, 10/100, training error: 0.520973, testing error: 0.488278
Epoch 11, 11/100, training error: 0.531156, testing error: 0.497216
Epoch 12, 12/100, training error: 0.520542, testing error: 0.495332
Epoch 13, 13/100, training error: 8.798225, testing error: 0.489781
Epoch 14, 14/100, training error: 0.525966, testing error: 0.485508
Epoch 15, 15/100, training error: 0.525342, testing error: 0.487807
Epoch 16, 16/100, training error: 0.522647, testing error: 0.486272
Epoch 17, 17/100, training error: 0.519211, testing error: 0.484617
Epoch 18, 18/100, training error: 37061.695312, testing error: 0.576101
Epoch 19, 19/100, training error: 0.658489, testing error: 0.568294
Epoch 20, 20/100, training error: 0.630609, testing error: 0.552774
Epoch 21, 21/100, training error: 0.621926, testing error: 0.541758
Epoch 22, 22/100, training error: 0.599138, testing error: 0.533513
Epoch 23, 23/100, training error: 0.593151, testing error: 0.530009
Epoch 24, 24/100, training error: 0.586150, testing error: 0.521675
Epoch 25, 25/100, training error: 0.580991, testing error: 0.513580
Epoch 26, 26/100, training error: 0.571712, testing error: 0.510546
Epoch 27, 27/100, training error: 0.566326, testing error: 0.507168
Epoch 28, 28/100, training error: 0.577112, testing error: 0.510436
Epoch 29, 29/100, training error: 0.557280, testing error: 0.499614
Epoch 30, 30/100, training error: 0.552644, testing error: 0.496123
Epoch 31, 31/100, training error: 0.545754, testing error: 0.497867
Epoch 32, 32/100, training error: 0.546936, testing error: 0.499734
Epoch 33, 33/100, training error: 0.541327, testing error: 0.497090
Epoch 34, 34/100, training error: 0.539842, testing error: 0.491423
Epoch 35, 35/100, training error: 0.537889, testing error: 0.490942
Epoch 36, 36/100, training error: 0.533698, testing error: 0.487490
