NGPUS = 1
Training the global horizontal and global vertical model with features uvtheta with min-max learning rates 0.001 to 0.009.
Training the global horizontal and global vertical model, with features uvtheta with min-max learning rates 0.001 to 0.009, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.61 MBs,
 --- Num params: 37.893 mil. 
Epoch 1, 1/100, training mseloss: 0.682510, testing mseloss: 0.822777
Epoch 2, 2/100, training mseloss: 0.641707, testing mseloss: 0.655393
Epoch 3, 3/100, training mseloss: 0.646794, testing mseloss: 0.641829
Epoch 4, 4/100, training mseloss: 0.617671, testing mseloss: 0.623369
Epoch 5, 5/100, training mseloss: 0.599739, testing mseloss: 0.615344
Epoch 6, 6/100, training mseloss: 0.582611, testing mseloss: 0.596820
Epoch 7, 7/100, training mseloss: 0.568063, testing mseloss: 0.577273
Epoch 8, 8/100, training mseloss: 0.557232, testing mseloss: 0.575305
Epoch 9, 9/100, training mseloss: 0.553631, testing mseloss: 0.605399
Epoch 10, 10/100, training mseloss: 0.538506, testing mseloss: 0.554454
Epoch 11, 11/100, training mseloss: 0.527747, testing mseloss: 0.559136
Epoch 12, 12/100, training mseloss: 0.518846, testing mseloss: 0.575340
Epoch 13, 13/100, training mseloss: 0.511063, testing mseloss: 0.551397
Epoch 14, 14/100, training mseloss: 0.506467, testing mseloss: 0.522662
Epoch 15, 15/100, training mseloss: 0.498081, testing mseloss: 0.530443
Epoch 16, 16/100, training mseloss: 0.492418, testing mseloss: 0.535924
Epoch 17, 17/100, training mseloss: 0.487212, testing mseloss: 0.508826
Epoch 18, 18/100, training mseloss: 0.482519, testing mseloss: 0.511319
Epoch 19, 19/100, training mseloss: 0.486726, testing mseloss: 0.539678
Epoch 20, 20/100, training mseloss: 0.505039, testing mseloss: 0.517586
Epoch 21, 21/100, training mseloss: 0.481388, testing mseloss: 0.500708
Epoch 22, 22/100, training mseloss: 0.475355, testing mseloss: 0.516098
