NGPUS = 1
Training the global horizontal and global vertical model with features uvthetaw with min-max learning rates 0.001 to 0.009.
Training the global horizontal and global vertical model, with features uvthetaw with min-max learning rates 0.001 to 0.009, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.88 MBs,
 --- Num params: 37.963 mil. 
Epoch 1, 1/100, training mseloss: 0.599563, testing mseloss: 0.566171
Epoch 2, 2/100, training mseloss: 0.508381, testing mseloss: 0.503729
Epoch 3, 3/100, training mseloss: 0.466277, testing mseloss: 0.491154
Epoch 4, 4/100, training mseloss: 0.442923, testing mseloss: 0.472550
Epoch 5, 5/100, training mseloss: 0.430187, testing mseloss: 0.450373
Epoch 6, 6/100, training mseloss: 0.416044, testing mseloss: 0.469906
Epoch 7, 7/100, training mseloss: 0.406585, testing mseloss: 0.425391
Epoch 8, 8/100, training mseloss: 0.400105, testing mseloss: 0.453103
Epoch 9, 9/100, training mseloss: 0.393636, testing mseloss: 0.435188
Epoch 10, 10/100, training mseloss: 0.388381, testing mseloss: 0.425420
Epoch 11, 11/100, training mseloss: 0.384717, testing mseloss: 0.434350
Epoch 12, 12/100, training mseloss: 0.381136, testing mseloss: 0.412724
Epoch 13, 13/100, training mseloss: 0.378044, testing mseloss: 0.547072
Epoch 14, 14/100, training mseloss: 0.377581, testing mseloss: 0.421008
Epoch 15, 15/100, training mseloss: 0.373234, testing mseloss: 0.738844
Epoch 16, 16/100, training mseloss: 0.378366, testing mseloss: 0.429253
Epoch 17, 17/100, training mseloss: 0.410058, testing mseloss: 0.434057
Epoch 18, 18/100, training mseloss: 0.378940, testing mseloss: 0.423789
Epoch 19, 19/100, training mseloss: 0.370482, testing mseloss: 0.392951
Epoch 20, 20/100, training mseloss: 0.369744, testing mseloss: 0.427073
Epoch 21, 21/100, training mseloss: 0.365577, testing mseloss: 0.402944
Epoch 22, 22/100, training mseloss: 0.363812, testing mseloss: 0.411502
Epoch 23, 23/100, training mseloss: 0.362268, testing mseloss: 0.425930
Epoch 24, 24/100, training mseloss: 0.361275, testing mseloss: 0.397474
Epoch 25, 25/100, training mseloss: 0.361865, testing mseloss: 0.427644
Epoch 26, 26/100, training mseloss: 0.358686, testing mseloss: 0.390277
Epoch 27, 27/100, training mseloss: 0.357469, testing mseloss: 0.416451
Epoch 28, 28/100, training mseloss: 0.356550, testing mseloss: 0.416602
Epoch 29, 29/100, training mseloss: 0.362233, testing mseloss: 0.416463
Epoch 30, 30/100, training mseloss: 0.355103, testing mseloss: 14.181790
Epoch 31, 31/100, training mseloss: 0.374699, testing mseloss: 0.394045
Epoch 32, 32/100, training mseloss: 0.356954, testing mseloss: 0.419524
Epoch 33, 33/100, training mseloss: 0.353458, testing mseloss: 0.388942
Epoch 34, 34/100, training mseloss: 0.352512, testing mseloss: 0.404538
Epoch 35, 35/100, training mseloss: 0.351620, testing mseloss: 0.462021
Epoch 36, 36/100, training mseloss: 0.351051, testing mseloss: 0.406691
Epoch 37, 37/100, training mseloss: 0.351131, testing mseloss: 0.411903
Epoch 38, 38/100, training mseloss: 0.349953, testing mseloss: 0.378525
Epoch 39, 39/100, training mseloss: 0.349047, testing mseloss: 0.406490
