NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvtheta with min-max learning rates 0.001 to 0.009.
Training the global horizontal and stratosphere_only vertical model, with features uvtheta with min-max learning rates 0.001 to 0.009, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.17 MBs,
 --- Num params: 37.777 mil. 
Epoch 1, 1/100, training mseloss: 0.250473, testing mseloss: 0.253053
Epoch 2, 2/100, training mseloss: 0.239917, testing mseloss: 0.249329
Epoch 3, 3/100, training mseloss: 0.235798, testing mseloss: 0.243228
Epoch 4, 4/100, training mseloss: 0.232877, testing mseloss: 0.239636
Epoch 5, 5/100, training mseloss: 0.231034, testing mseloss: 0.242309
Epoch 6, 6/100, training mseloss: 0.236829, testing mseloss: 0.253069
Epoch 7, 7/100, training mseloss: 0.238299, testing mseloss: 0.239794
Epoch 8, 8/100, training mseloss: 0.233793, testing mseloss: 0.241094
Epoch 9, 9/100, training mseloss: 0.231827, testing mseloss: 0.241753
Epoch 10, 10/100, training mseloss: 0.231031, testing mseloss: 0.235083
Epoch 11, 11/100, training mseloss: 0.229421, testing mseloss: 0.234115
Epoch 12, 12/100, training mseloss: 0.228303, testing mseloss: 0.233578
Epoch 13, 13/100, training mseloss: 0.227540, testing mseloss: 0.231528
Epoch 14, 14/100, training mseloss: 0.225890, testing mseloss: 0.227088
Epoch 15, 15/100, training mseloss: 0.223085, testing mseloss: 0.225218
Epoch 16, 16/100, training mseloss: 0.217022, testing mseloss: 0.218677
Epoch 17, 17/100, training mseloss: 0.210977, testing mseloss: 0.212390
Epoch 18, 18/100, training mseloss: 0.206135, testing mseloss: 0.207814
Epoch 19, 19/100, training mseloss: 0.203097, testing mseloss: 0.211014
Epoch 20, 20/100, training mseloss: 0.202253, testing mseloss: 0.202348
Epoch 21, 21/100, training mseloss: 0.197894, testing mseloss: 0.196930
Epoch 22, 22/100, training mseloss: 0.195543, testing mseloss: 0.200008
Epoch 23, 23/100, training mseloss: 0.193596, testing mseloss: 0.199747
Epoch 24, 24/100, training mseloss: 0.191499, testing mseloss: 0.192729
Epoch 25, 25/100, training mseloss: 0.189125, testing mseloss: 0.196446
Epoch 26, 26/100, training mseloss: 0.187199, testing mseloss: 0.192718
Epoch 27, 27/100, training mseloss: 0.200771, testing mseloss: 0.195016
Epoch 28, 28/100, training mseloss: 0.189285, testing mseloss: 0.188407
Epoch 29, 29/100, training mseloss: 0.186740, testing mseloss: 0.196734
Epoch 30, 30/100, training mseloss: 0.187524, testing mseloss: 0.192699
Epoch 31, 31/100, training mseloss: 0.184544, testing mseloss: 0.184324
Epoch 32, 32/100, training mseloss: 0.182858, testing mseloss: 0.190159
Epoch 33, 33/100, training mseloss: 0.181770, testing mseloss: 0.190440
Epoch 34, 34/100, training mseloss: 0.180929, testing mseloss: 0.182840
Epoch 35, 35/100, training mseloss: 0.179724, testing mseloss: 0.183793
