In this Ablation study, multiple threads are used to make batches for global training. 10 CPUs are requested and 8 CPUs are used.
Done
Region: 2scand
Region: 2scand, y1=45, y2=58, x1=0, x2=12
Region: 2scand, y1=45, y2=58, x1=0, x2=12
total_time=2.167520523071289
model1 created. 
 --- model1 size: 38.70 MBs,
 --- Num params: 10.125 mil. 
Training...
Epoch 1, 1/100, training error: 0.426629, testing error: 0.947519
Epoch 2, 2/100, training error: 0.418035, testing error: 0.932803
Epoch 3, 3/100, training error: 0.413197, testing error: 0.705985
Epoch 4, 4/100, training error: 0.410496, testing error: 0.771123
Epoch 5, 5/100, training error: 0.412941, testing error: 2.614595
Epoch 6, 6/100, training error: 0.410705, testing error: 111.273032
Epoch 7, 7/100, training error: 0.405856, testing error: 30.613301
Epoch 8, 8/100, training error: 0.407420, testing error: 576.323238
Epoch 9, 9/100, training error: 0.472904, testing error: 18.125375
Epoch 10, 10/100, training error: 0.415865, testing error: 4.357280
Epoch 11, 11/100, training error: 0.413256, testing error: 14.649222
Epoch 12, 12/100, training error: 0.411458, testing error: 1.950256
Epoch 13, 13/100, training error: 0.409521, testing error: 2.276454
Epoch 14, 14/100, training error: 0.407023, testing error: 5.222624
Epoch 15, 15/100, training error: 0.410181, testing error: 67.518375
Epoch 16, 16/100, training error: 0.407913, testing error: 7.021196
Epoch 17, 17/100, training error: 0.403998, testing error: 971.984912
Epoch 18, 18/100, training error: 0.404548, testing error: 2.954591
Epoch 19, 19/100, training error: 0.404904, testing error: 4.297624
Epoch 20, 20/100, training error: 0.402223, testing error: 10.086945
Epoch 21, 21/100, training error: 0.399474, testing error: 8.556963
Epoch 22, 22/100, training error: 0.402305, testing error: 4.603922
Epoch 23, 23/100, training error: 0.401719, testing error: 5.292218
Epoch 24, 24/100, training error: 0.396891, testing error: 10.707257
Epoch 25, 25/100, training error: 0.397307, testing error: 8.994124
Epoch 26, 26/100, training error: 0.449040, testing error: 13733493641.891048
Epoch 27, 27/100, training error: 0.417724, testing error: 14205721683.528643
Epoch 28, 28/100, training error: 0.414306, testing error: 3874536243.293401
