NGPUS = 1
Dataset class defined
train batch size = 40
validation batch size = 40
total_time=1.649718999862671
model1 created. 
 --- model1 size: 15.95 MBs,
 --- Num params: 4.170 mil. 
Model created
model1 created. 
 --- model1 size: 15.95 MBs,
 --- Num params: 4.170 mil. 
Training...
Reloading model and resuming training
Epoch 101, 1/100, training error: 0.407300, testing error: 0.383250
Epoch 102, 2/100, training error: 0.399779, testing error: 0.383318
Epoch 103, 3/100, training error: 0.397154, testing error: 0.391423
Epoch 104, 4/100, training error: 0.399258, testing error: 0.377330
Epoch 105, 5/100, training error: 0.395264, testing error: 0.395535
Epoch 106, 6/100, training error: 0.398743, testing error: 0.381061
Epoch 107, 7/100, training error: 0.394913, testing error: 0.391060
Epoch 108, 8/100, training error: 0.397750, testing error: 0.380766
Epoch 109, 9/100, training error: 0.394472, testing error: 0.373459
Epoch 110, 10/100, training error: 0.394091, testing error: 0.397166
Epoch 111, 11/100, training error: 0.393286, testing error: 0.375043
Epoch 112, 12/100, training error: 0.393674, testing error: 0.384544
Epoch 113, 13/100, training error: 0.394883, testing error: 0.376590
Epoch 114, 14/100, training error: 0.391218, testing error: 0.375796
Epoch 115, 15/100, training error: 0.392287, testing error: 0.380818
Epoch 116, 16/100, training error: 0.390979, testing error: 0.375698
Epoch 117, 17/100, training error: 0.391810, testing error: 0.392827
Epoch 118, 18/100, training error: 0.392455, testing error: 0.378282
Epoch 119, 19/100, training error: 0.389812, testing error: 0.379480
Epoch 120, 20/100, training error: 0.391906, testing error: 0.377702
Epoch 121, 21/100, training error: 0.389928, testing error: 0.376178
Epoch 122, 22/100, training error: 0.388394, testing error: 0.376597
Epoch 123, 23/100, training error: 0.390272, testing error: 0.377409
Epoch 124, 24/100, training error: 0.388469, testing error: 0.373038
Epoch 125, 25/100, training error: 0.390659, testing error: 0.379126
Epoch 126, 26/100, training error: 0.388333, testing error: 0.379474
Epoch 127, 27/100, training error: 0.388454, testing error: 0.376896
Epoch 128, 28/100, training error: 0.387990, testing error: 0.370914
Epoch 129, 29/100, training error: 0.387291, testing error: 0.383305
Epoch 130, 30/100, training error: 0.389636, testing error: 0.376630
Epoch 131, 31/100, training error: 0.388073, testing error: 0.376747
Epoch 132, 32/100, training error: 0.389260, testing error: 0.381449
Epoch 133, 33/100, training error: 0.387006, testing error: 0.376534
Epoch 134, 34/100, training error: 0.387780, testing error: 0.375448
Epoch 135, 35/100, training error: 0.385361, testing error: 0.371823
Epoch 136, 36/100, training error: 0.385378, testing error: 0.374508
Epoch 137, 37/100, training error: 0.387467, testing error: 0.376746
Epoch 138, 38/100, training error: 0.384794, testing error: 0.372386
Epoch 139, 39/100, training error: 0.387476, testing error: 0.378081
Epoch 140, 40/100, training error: 0.384401, testing error: 0.366192
Epoch 141, 41/100, training error: 0.385542, testing error: 0.398009
Epoch 142, 42/100, training error: 0.385183, testing error: 0.376289
Epoch 143, 43/100, training error: 0.383399, testing error: 0.367601
Epoch 144, 44/100, training error: 0.384646, testing error: 0.376366
Epoch 145, 45/100, training error: 0.383963, testing error: 0.371209
Epoch 146, 46/100, training error: 0.383559, testing error: 0.375663
Epoch 147, 47/100, training error: 0.383429, testing error: 0.371425
Epoch 148, 48/100, training error: 0.382402, testing error: 0.375595
Epoch 149, 49/100, training error: 0.383208, testing error: 0.373323
Epoch 150, 50/100, training error: 0.382021, testing error: 0.371282
Epoch 151, 51/100, training error: 0.382980, testing error: 0.375895
Epoch 152, 52/100, training error: 0.381685, testing error: 0.366861
Epoch 153, 53/100, training error: 0.381346, testing error: 0.373047
Epoch 154, 54/100, training error: 0.382240, testing error: 0.376312
Epoch 155, 55/100, training error: 0.381885, testing error: 0.369827
Epoch 156, 56/100, training error: 0.383083, testing error: 0.373218
Epoch 157, 57/100, training error: 0.381575, testing error: 0.368553
Epoch 158, 58/100, training error: 0.381087, testing error: 0.374548
Epoch 159, 59/100, training error: 0.381446, testing error: 0.371705
Epoch 160, 60/100, training error: 0.379927, testing error: 0.373177
Epoch 161, 61/100, training error: 0.381352, testing error: 0.372901
Epoch 162, 62/100, training error: 0.380666, testing error: 0.367211
Epoch 163, 63/100, training error: 0.380951, testing error: 0.374564
Epoch 164, 64/100, training error: 0.379237, testing error: 0.365894
Epoch 165, 65/100, training error: 0.379489, testing error: 0.369457
Epoch 166, 66/100, training error: 0.381349, testing error: 0.369634
Epoch 167, 67/100, training error: 0.378758, testing error: 0.369990
Epoch 168, 68/100, training error: 0.382525, testing error: 0.374533
Epoch 169, 69/100, training error: 0.380038, testing error: 0.364938
Epoch 170, 70/100, training error: 0.379691, testing error: 0.373534
Epoch 171, 71/100, training error: 0.378685, testing error: 0.368845
Epoch 172, 72/100, training error: 0.378962, testing error: 0.369934
Epoch 173, 73/100, training error: 0.378360, testing error: 0.368068
Epoch 174, 74/100, training error: 0.378285, testing error: 0.368106
Epoch 175, 75/100, training error: 0.379947, testing error: 0.372495
Epoch 176, 76/100, training error: 0.377860, testing error: 0.364360
Epoch 177, 77/100, training error: 0.376807, testing error: 0.372723
Epoch 178, 78/100, training error: 0.377311, testing error: 0.366101
Epoch 179, 79/100, training error: 0.378711, testing error: 0.372862
Epoch 180, 80/100, training error: 0.378125, testing error: 0.368961
Epoch 181, 81/100, training error: 0.377101, testing error: 0.361851
Epoch 182, 82/100, training error: 0.379104, testing error: 0.376307
Epoch 183, 83/100, training error: 0.375939, testing error: 0.365827
Epoch 184, 84/100, training error: 0.376690, testing error: 0.369011
Epoch 185, 85/100, training error: 0.377123, testing error: 0.366679
Epoch 186, 86/100, training error: 0.377071, testing error: 0.368991
Epoch 187, 87/100, training error: 0.378116, testing error: 0.367355
Epoch 188, 88/100, training error: 0.376402, testing error: 0.364315
Epoch 189, 89/100, training error: 0.377345, testing error: 0.372740
Epoch 190, 90/100, training error: 0.376241, testing error: 0.366145
Epoch 191, 91/100, training error: 0.375555, testing error: 0.368676
Epoch 192, 92/100, training error: 0.375972, testing error: 0.367232
Epoch 193, 93/100, training error: 0.375535, testing error: 0.365315
Epoch 194, 94/100, training error: 0.376649, testing error: 0.371059
Epoch 195, 95/100, training error: 0.375297, testing error: 0.364309
Epoch 196, 96/100, training error: 0.375381, testing error: 0.370623
Epoch 197, 97/100, training error: 0.374999, testing error: 0.361922
Epoch 198, 98/100, training error: 0.374385, testing error: 0.368472
Epoch 199, 99/100, training error: 0.375454, testing error: 0.368000
Epoch 200, 100/100, training error: 0.374613, testing error: 0.362432
Training Complete
total_time=85065.75488257408
