In this Ablation study, multiple threads are used to make batches for global training. 10 CPUs are requested and 8 CPUs are used. Only the stratospheric data is used - which might not be the best choice since troposheric information is completely ignored - but it is a plausible test of nonlocal predictability in the stratosphere. To evaluate seasonal predictions, the full year 2015 is used a validation set, which is also good because 2015 had extreme winds in the stratosphere during DJF. Input set can be variable with this dataset. Right now only u,v,theta are input. Should extend it to include w and N2 later. Output is UW and VW.
Done
Region: 1andes
total_time=1.2946319580078125
Input dim: 183, hidden dim: 732, output dim: 120
model1 created. 
 --- model1 size: 19.72 MBs,
 --- Num params: 5.169 mil. 
Training...
Epoch 1, 1/200, training error: 0.258053, testing error: 0.258477
Epoch 2, 2/200, training error: 0.249731, testing error: 0.252748
Epoch 3, 3/200, training error: 0.246012, testing error: 0.252230
Epoch 4, 4/200, training error: 0.244203, testing error: 0.251052
Epoch 5, 5/200, training error: 0.243342, testing error: 0.247258
Epoch 6, 6/200, training error: 0.242396, testing error: 0.248615
Epoch 7, 7/200, training error: 0.241593, testing error: 0.244134
Epoch 8, 8/200, training error: 0.241159, testing error: 0.246385
Epoch 9, 9/200, training error: 0.240780, testing error: 0.243951
Epoch 10, 10/200, training error: 0.239709, testing error: 0.244687
Epoch 11, 11/200, training error: 0.238877, testing error: 0.244197
Epoch 12, 12/200, training error: 0.238643, testing error: 0.241722
Epoch 13, 13/200, training error: 0.238150, testing error: 0.243152
Epoch 14, 14/200, training error: 0.237670, testing error: 0.240499
Epoch 15, 15/200, training error: 0.301102, testing error: 0.251103
Epoch 16, 16/200, training error: 0.247262, testing error: 0.248027
Epoch 17, 17/200, training error: 0.245563, testing error: 0.246269
Epoch 18, 18/200, training error: 0.244257, testing error: 0.246703
Epoch 19, 19/200, training error: 0.243166, testing error: 0.242891
Epoch 20, 20/200, training error: 0.242817, testing error: 0.244563
Epoch 21, 21/200, training error: 0.242018, testing error: 0.242390
Epoch 22, 22/200, training error: 0.241414, testing error: 0.242553
Epoch 23, 23/200, training error: 0.240632, testing error: 0.242009
Epoch 24, 24/200, training error: 0.240208, testing error: 0.241245
Epoch 25, 25/200, training error: 0.239725, testing error: 0.241699
Epoch 26, 26/200, training error: 0.239272, testing error: 0.240104
Epoch 27, 27/200, training error: 0.239014, testing error: 0.241423
Epoch 28, 28/200, training error: 0.238613, testing error: 0.240000
Epoch 29, 29/200, training error: 0.238387, testing error: 0.240512
Epoch 30, 30/200, training error: 0.237889, testing error: 0.240212
Epoch 31, 31/200, training error: 0.237695, testing error: 0.239727
Epoch 32, 32/200, training error: 0.242238, testing error: 0.246550
Epoch 33, 33/200, training error: 0.241166, testing error: 0.240013
Epoch 34, 34/200, training error: 0.239592, testing error: 0.240699
Epoch 35, 35/200, training error: 0.238867, testing error: 0.240191
Epoch 36, 36/200, training error: 0.239647, testing error: 0.240743
Epoch 37, 37/200, training error: 0.238794, testing error: 0.240582
Epoch 38, 38/200, training error: 0.238274, testing error: 0.239077
Epoch 39, 39/200, training error: 0.238050, testing error: 0.240078
Epoch 40, 40/200, training error: 0.237920, testing error: 0.238628
Epoch 41, 41/200, training error: 0.237858, testing error: 0.239360
Epoch 42, 42/200, training error: 0.240035, testing error: 0.239553
Epoch 43, 43/200, training error: 0.237773, testing error: 0.239044
Epoch 44, 44/200, training error: 0.243662, testing error: 0.248818
Epoch 45, 45/200, training error: 0.244545, testing error: 0.242658
Epoch 46, 46/200, training error: 0.241732, testing error: 0.241717
Epoch 47, 47/200, training error: 0.240516, testing error: 0.240388
Epoch 48, 48/200, training error: 0.239833, testing error: 0.240151
Epoch 49, 49/200, training error: 0.239264, testing error: 0.240287
Epoch 50, 50/200, training error: 0.238802, testing error: 0.239206
Epoch 51, 51/200, training error: 88727904.000000, testing error: 0.278998
Epoch 52, 52/200, training error: 0.276591, testing error: 0.273885
Epoch 53, 53/200, training error: 0.271111, testing error: 0.269102
Epoch 54, 54/200, training error: 26204.353516, testing error: 0.271899
Epoch 55, 55/200, training error: 0.314256, testing error: 0.270164
Epoch 56, 56/200, training error: 0.271096, testing error: 0.268815
Epoch 57, 57/200, training error: 0.269338, testing error: 0.266532
Epoch 58, 58/200, training error: 0.268452, testing error: 0.266490
Epoch 59, 59/200, training error: 0.267081, testing error: 0.263781
Epoch 60, 60/200, training error: 0.265871, testing error: 0.262792
Epoch 61, 61/200, training error: 0.265281, testing error: 0.261786
Epoch 62, 62/200, training error: 0.263390, testing error: 0.259441
Epoch 63, 63/200, training error: 0.262384, testing error: 0.258356
Epoch 64, 64/200, training error: 0.262111, testing error: 0.257163
