In this Ablation study, multiple threads are used to make batches for global training. 10 CPUs are requested and 8 CPUs are used. Only the stratospheric data is used - which might not be the best choice since troposheric information is completely ignored - but it is a plausible test of nonlocal predictability in the stratosphere. To evaluate seasonal predictions, the full year 2015 is used a validation set, which is also good because 2015 had extreme winds in the stratosphere during DJF. Input set can be variable with this dataset. Right now only u,v,theta are input. Should extend it to include w and N2 later. Output is UW and VW.
Done
Region: 1andes
total_time=1.6944527626037598
Input dim: 183, hidden dim: 732, output dim: 120
model1 created. 
 --- model1 size: 9.55 MBs,
 --- Num params: 2.495 mil. 
Training...
Epoch 1, 1/200, training error: 0.259407, testing error: 0.253707
Epoch 2, 2/200, training error: 0.248318, testing error: 0.256242
Epoch 3, 3/200, training error: 0.246213, testing error: 0.248384
Epoch 4, 4/200, training error: 0.243903, testing error: 0.246536
Epoch 5, 5/200, training error: 0.242212, testing error: 0.246431
Epoch 6, 6/200, training error: 0.241136, testing error: 0.243781
Epoch 7, 7/200, training error: 0.239885, testing error: 0.241866
Epoch 8, 8/200, training error: 0.239337, testing error: 0.243065
Epoch 9, 9/200, training error: 0.238611, testing error: 0.242635
Epoch 10, 10/200, training error: 0.238234, testing error: 0.239941
Epoch 11, 11/200, training error: 0.237841, testing error: 0.240711
Epoch 12, 12/200, training error: 0.237182, testing error: 0.241734
Epoch 13, 13/200, training error: 0.237053, testing error: 0.240050
Epoch 14, 14/200, training error: 0.236607, testing error: 0.238219
Epoch 15, 15/200, training error: 0.236397, testing error: 0.239969
Epoch 16, 16/200, training error: 0.235869, testing error: 0.240376
Epoch 17, 17/200, training error: 0.235801, testing error: 0.237880
Epoch 18, 18/200, training error: 0.235834, testing error: 0.238632
Epoch 19, 19/200, training error: 0.235140, testing error: 0.239488
Epoch 20, 20/200, training error: 0.235138, testing error: 0.237632
Epoch 21, 21/200, training error: 0.234815, testing error: 0.236304
Epoch 22, 22/200, training error: 0.234583, testing error: 0.237543
Epoch 23, 23/200, training error: 0.234255, testing error: 0.237663
Epoch 24, 24/200, training error: 0.234106, testing error: 0.235888
Epoch 25, 25/200, training error: 0.234094, testing error: 0.237445
Epoch 26, 26/200, training error: 0.233712, testing error: 0.237471
Epoch 27, 27/200, training error: 0.233740, testing error: 0.235920
Epoch 28, 28/200, training error: 0.233480, testing error: 0.235284
Epoch 29, 29/200, training error: 0.233332, testing error: 0.236600
Epoch 30, 30/200, training error: 0.233122, testing error: 0.236304
Epoch 31, 31/200, training error: 0.232984, testing error: 0.234997
Epoch 32, 32/200, training error: 0.232998, testing error: 0.236145
Epoch 33, 33/200, training error: 0.232654, testing error: 0.236431
Epoch 34, 34/200, training error: 0.232687, testing error: 0.235229
Epoch 35, 35/200, training error: 0.232516, testing error: 0.234802
Epoch 36, 36/200, training error: 0.232349, testing error: 0.236065
Epoch 37, 37/200, training error: 0.232256, testing error: 0.235445
Epoch 38, 38/200, training error: 0.232126, testing error: 0.234523
Epoch 39, 39/200, training error: 0.232122, testing error: 0.235192
Epoch 40, 40/200, training error: 0.231749, testing error: 0.235281
Epoch 41, 41/200, training error: 0.231782, testing error: 0.234540
Epoch 42, 42/200, training error: 0.231756, testing error: 0.234495
Epoch 43, 43/200, training error: 0.231482, testing error: 0.235475
Epoch 44, 44/200, training error: 0.231498, testing error: 0.234573
Epoch 45, 45/200, training error: 0.231321, testing error: 0.233996
Epoch 46, 46/200, training error: 0.231346, testing error: 0.234930
Epoch 47, 47/200, training error: 0.230988, testing error: 0.234697
Epoch 48, 48/200, training error: 0.231014, testing error: 0.234085
Epoch 49, 49/200, training error: 0.231046, testing error: 0.234200
Epoch 50, 50/200, training error: 0.230755, testing error: 0.235212
Epoch 51, 51/200, training error: 0.230808, testing error: 0.234283
Epoch 52, 52/200, training error: 0.230678, testing error: 0.233545
Epoch 53, 53/200, training error: 0.230647, testing error: 0.234698
Epoch 54, 54/200, training error: 0.230350, testing error: 0.234292
Epoch 55, 55/200, training error: 0.230329, testing error: 0.233566
Epoch 56, 56/200, training error: 0.230359, testing error: 0.233784
Epoch 57, 57/200, training error: 0.230100, testing error: 0.234432
Epoch 58, 58/200, training error: 0.230200, testing error: 0.233653
Epoch 59, 59/200, training error: 0.230057, testing error: 0.233268
Epoch 60, 60/200, training error: 0.229993, testing error: 0.234152
Epoch 61, 61/200, training error: 0.229804, testing error: 0.233863
Epoch 62, 62/200, training error: 0.229683, testing error: 0.233051
Epoch 63, 63/200, training error: 0.229779, testing error: 0.233852
Epoch 64, 64/200, training error: 0.229523, testing error: 0.233902
Epoch 65, 65/200, training error: 0.229640, testing error: 0.233301
Epoch 66, 66/200, training error: 0.229438, testing error: 0.233294
Epoch 67, 67/200, training error: 0.229376, testing error: 0.233830
Epoch 68, 68/200, training error: 0.229345, testing error: 0.233325
Epoch 69, 69/200, training error: 0.229157, testing error: 0.232780
Epoch 70, 70/200, training error: 0.229223, testing error: 0.233792
Epoch 71, 71/200, training error: 0.228984, testing error: 0.233247
Epoch 72, 72/200, training error: 0.229048, testing error: 0.232560
Epoch 73, 73/200, training error: 0.228976, testing error: 0.232959
Epoch 74, 74/200, training error: 0.228821, testing error: 0.233349
Epoch 75, 75/200, training error: 0.228914, testing error: 0.232910
Epoch 76, 76/200, training error: 0.228650, testing error: 0.232250
Epoch 77, 77/200, training error: 0.228723, testing error: 0.233596
Epoch 78, 78/200, training error: 0.228524, testing error: 0.232799
Epoch 79, 79/200, training error: 0.228543, testing error: 0.232217
Epoch 80, 80/200, training error: 0.228510, testing error: 0.232551
Epoch 81, 81/200, training error: 0.228377, testing error: 0.232958
Epoch 82, 82/200, training error: 0.228492, testing error: 0.232568
Epoch 83, 83/200, training error: 0.228279, testing error: 0.231928
Epoch 84, 84/200, training error: 0.228317, testing error: 0.233186
Epoch 85, 85/200, training error: 0.228157, testing error: 0.232485
Epoch 86, 86/200, training error: 0.228091, testing error: 0.232021
Epoch 87, 87/200, training error: 0.228119, testing error: 0.232539
Epoch 88, 88/200, training error: 0.227989, testing error: 0.232621
Epoch 89, 89/200, training error: 0.228154, testing error: 0.232405
Epoch 90, 90/200, training error: 0.227974, testing error: 0.231922
Epoch 91, 91/200, training error: 0.227953, testing error: 0.232783
Epoch 92, 92/200, training error: 0.227876, testing error: 0.232481
Epoch 93, 93/200, training error: 0.227742, testing error: 0.231867
Epoch 94, 94/200, training error: 0.227806, testing error: 0.232481
Epoch 95, 95/200, training error: 0.227679, testing error: 0.232289
Epoch 96, 96/200, training error: 0.227840, testing error: 0.231786
Epoch 97, 97/200, training error: 0.227630, testing error: 0.231794
Epoch 98, 98/200, training error: 0.227595, testing error: 0.232437
Epoch 99, 99/200, training error: 0.227605, testing error: 0.232197
Epoch 100, 100/200, training error: 0.227418, testing error: 0.231499
Epoch 101, 101/200, training error: 0.227503, testing error: 0.232676
Epoch 102, 102/200, training error: 0.227413, testing error: 0.232119
Epoch 103, 103/200, training error: 0.227503, testing error: 0.231391
Epoch 104, 104/200, training error: 0.227372, testing error: 0.231677
Epoch 105, 105/200, training error: 0.227303, testing error: 0.232117
Epoch 106, 106/200, training error: 0.227345, testing error: 0.231766
Epoch 107, 107/200, training error: 0.227173, testing error: 0.231069
Epoch 108, 108/200, training error: 0.227242, testing error: 0.232641
Epoch 109, 109/200, training error: 0.227110, testing error: 0.232000
Epoch 110, 110/200, training error: 0.227181, testing error: 0.231004
Epoch 111, 111/200, training error: 0.227128, testing error: 0.231274
Epoch 112, 112/200, training error: 0.227022, testing error: 0.232021
Epoch 113, 113/200, training error: 0.227121, testing error: 0.231276
Epoch 114, 114/200, training error: 0.226957, testing error: 0.230884
Epoch 115, 115/200, training error: 0.227019, testing error: 0.232608
Epoch 116, 116/200, training error: 0.226897, testing error: 0.231829
Epoch 117, 117/200, training error: 0.226855, testing error: 0.231056
Epoch 118, 118/200, training error: 0.226845, testing error: 0.231206
Epoch 119, 119/200, training error: 0.226785, testing error: 0.232007
Epoch 120, 120/200, training error: 0.226947, testing error: 0.231189
Epoch 121, 121/200, training error: 0.226763, testing error: 0.230932
Epoch 122, 122/200, training error: 0.226782, testing error: 0.232249
Epoch 123, 123/200, training error: 0.226737, testing error: 0.231599
Epoch 124, 124/200, training error: 0.226635, testing error: 0.230872
Epoch 125, 125/200, training error: 0.226650, testing error: 0.231522
Epoch 126, 126/200, training error: 0.226589, testing error: 0.231652
Epoch 127, 127/200, training error: 0.226744, testing error: 0.230974
Epoch 128, 128/200, training error: 0.226562, testing error: 0.230929
Epoch 129, 129/200, training error: 0.226543, testing error: 0.232076
Epoch 130, 130/200, training error: 0.226590, testing error: 0.231529
Epoch 131, 131/200, training error: 0.226423, testing error: 0.230804
Epoch 132, 132/200, training error: 0.226444, testing error: 0.231573
Epoch 133, 133/200, training error: 0.226432, testing error: 0.231746
Epoch 134, 134/200, training error: 0.226484, testing error: 0.230800
Epoch 135, 135/200, training error: 0.226352, testing error: 0.231034
Epoch 136, 136/200, training error: 0.226300, testing error: 0.231506
Epoch 137, 137/200, training error: 0.226432, testing error: 0.231471
Epoch 138, 138/200, training error: 0.226224, testing error: 0.230700
Epoch 139, 139/200, training error: 0.226254, testing error: 0.231954
Epoch 140, 140/200, training error: 0.226204, testing error: 0.231722
Epoch 141, 141/200, training error: 0.226233, testing error: 0.230659
Epoch 142, 142/200, training error: 0.226179, testing error: 0.230740
Epoch 143, 143/200, training error: 0.226127, testing error: 0.231374
Epoch 144, 144/200, training error: 0.226252, testing error: 0.231074
Epoch 145, 145/200, training error: 0.226067, testing error: 0.230325
Epoch 146, 146/200, training error: 0.226100, testing error: 0.231855
Epoch 147, 147/200, training error: 0.226050, testing error: 0.231750
Epoch 148, 148/200, training error: 0.226046, testing error: 0.230680
Epoch 149, 149/200, training error: 0.225970, testing error: 0.230510
Epoch 150, 150/200, training error: 0.225953, testing error: 0.231448
Epoch 151, 151/200, training error: 0.226115, testing error: 0.230925
Epoch 152, 152/200, training error: 0.225927, testing error: 0.230285
Epoch 153, 153/200, training error: 0.225928, testing error: 0.231587
Epoch 154, 154/200, training error: 0.225940, testing error: 0.231515
Epoch 155, 155/200, training error: 0.225883, testing error: 0.230478
Epoch 156, 156/200, training error: 0.225831, testing error: 0.230727
Epoch 157, 157/200, training error: 0.225829, testing error: 0.231174
Epoch 158, 158/200, training error: 0.225987, testing error: 0.230749
Epoch 159, 159/200, training error: 0.225767, testing error: 0.230262
Epoch 160, 160/200, training error: 0.225805, testing error: 0.231667
Epoch 161, 161/200, training error: 0.225846, testing error: 0.231224
Epoch 162, 162/200, training error: 0.225708, testing error: 0.230376
Epoch 163, 163/200, training error: 0.225710, testing error: 0.230854
Epoch 164, 164/200, training error: 0.225721, testing error: 0.231220
Epoch 165, 165/200, training error: 0.225776, testing error: 0.230445
Epoch 166, 166/200, training error: 0.225610, testing error: 0.230264
Epoch 167, 167/200, training error: 0.225617, testing error: 0.231321
Epoch 168, 168/200, training error: 0.225712, testing error: 0.231145
Epoch 169, 169/200, training error: 0.225522, testing error: 0.229996
Epoch 170, 170/200, training error: 0.225567, testing error: 0.230916
Epoch 171, 171/200, training error: 0.225553, testing error: 0.231047
Epoch 172, 172/200, training error: 0.225575, testing error: 0.230151
Epoch 173, 173/200, training error: 0.225511, testing error: 0.230095
Epoch 174, 174/200, training error: 0.225461, testing error: 0.230921
Epoch 175, 175/200, training error: 0.225560, testing error: 0.230676
Epoch 176, 176/200, training error: 0.225387, testing error: 0.229623
Epoch 177, 177/200, training error: 0.225454, testing error: 0.231054
Epoch 178, 178/200, training error: 0.225402, testing error: 0.231151
Epoch 179, 179/200, training error: 0.225431, testing error: 0.229938
Epoch 180, 180/200, training error: 0.225372, testing error: 0.229940
Epoch 181, 181/200, training error: 0.225350, testing error: 0.230864
Epoch 182, 182/200, training error: 0.225458, testing error: 0.230397
Epoch 183, 183/200, training error: 0.225292, testing error: 0.229538
Epoch 184, 184/200, training error: 0.225329, testing error: 0.231025
Epoch 185, 185/200, training error: 0.225319, testing error: 0.230969
Epoch 186, 186/200, training error: 0.225262, testing error: 0.229821
Epoch 187, 187/200, training error: 0.225234, testing error: 0.230053
Epoch 188, 188/200, training error: 0.225243, testing error: 0.230757
Epoch 189, 189/200, training error: 0.225352, testing error: 0.230207
Epoch 190, 190/200, training error: 0.225191, testing error: 0.229646
Epoch 191, 191/200, training error: 0.225213, testing error: 0.231054
Epoch 192, 192/200, training error: 0.225244, testing error: 0.230753
Epoch 193, 193/200, training error: 0.225121, testing error: 0.229699
Epoch 194, 194/200, training error: 0.225129, testing error: 0.230654
