In this Ablation study, multiple threads are used to make batches for global training. 10 CPUs are requested and 8 CPUs are used. Only the stratospheric data is used - which might not be the best choice since troposheric information is completely ignored - but it is a plausible test of nonlocal predictability in the stratosphere. To evaluate seasonal predictions, the full year 2015 is used a validation set, which is also good because 2015 had extreme winds in the stratosphere during DJF. Input set can be variable with this dataset. Right now only u,v,theta are input. Should extend it to include w and N2 later. Output is UW and VW.
Done
Region: 1andes
total_time=2.358367919921875
Input dim: 183, hidden dim: 732, output dim: 120
model1 created. 
 --- model1 size: 9.55 MBs,
 --- Num params: 2.495 mil. 
model1 created. 
 --- model1 size: 9.55 MBs,
 --- Num params: 2.495 mil. 
Training...
Epoch 101, 1/100, training error: 0.225566, testing error: 0.231447
Epoch 102, 2/100, training error: 0.225504, testing error: 0.231929
Epoch 103, 3/100, training error: 0.225525, testing error: 0.230886
Epoch 104, 4/100, training error: 0.225423, testing error: 0.230935
Epoch 105, 5/100, training error: 0.225384, testing error: 0.232049
Epoch 106, 6/100, training error: 0.225430, testing error: 0.231225
Epoch 107, 7/100, training error: 0.225317, testing error: 0.230067
Epoch 108, 8/100, training error: 0.225293, testing error: 0.231321
Epoch 109, 9/100, training error: 0.225251, testing error: 0.231452
Epoch 110, 10/100, training error: 0.225219, testing error: 0.230594
Epoch 111, 11/100, training error: 0.225171, testing error: 0.230716
Epoch 112, 12/100, training error: 0.225149, testing error: 0.231466
Epoch 113, 13/100, training error: 0.225185, testing error: 0.230868
Epoch 114, 14/100, training error: 0.225071, testing error: 0.229738
Epoch 115, 15/100, training error: 0.225014, testing error: 0.231059
Epoch 116, 16/100, training error: 0.225029, testing error: 0.230756
Epoch 117, 17/100, training error: 0.224967, testing error: 0.230201
Epoch 118, 18/100, training error: 0.224948, testing error: 0.230500
Epoch 119, 19/100, training error: 0.224908, testing error: 0.231469
Epoch 120, 20/100, training error: 0.224963, testing error: 0.230615
Epoch 121, 21/100, training error: 0.224843, testing error: 0.229819
Epoch 122, 22/100, training error: 0.224798, testing error: 0.231248
Epoch 123, 23/100, training error: 0.224822, testing error: 0.230292
Epoch 124, 24/100, training error: 0.224760, testing error: 0.229818
Epoch 125, 25/100, training error: 0.224739, testing error: 0.230555
Epoch 126, 26/100, training error: 0.224698, testing error: 0.231378
Epoch 127, 27/100, training error: 0.224726, testing error: 0.230419
Epoch 128, 28/100, training error: 0.224630, testing error: 0.229794
Epoch 129, 29/100, training error: 0.224594, testing error: 0.231335
Epoch 130, 30/100, training error: 0.224624, testing error: 0.230299
Epoch 131, 31/100, training error: 0.224565, testing error: 0.229499
Epoch 132, 32/100, training error: 0.224558, testing error: 0.230312
Epoch 133, 33/100, training error: 0.224511, testing error: 0.231134
Epoch 134, 34/100, training error: 0.224488, testing error: 0.229924
