In this Ablation study, multiple threads are used to make batches for global training. 10 CPUs are requested and 8 CPUs are used. Only the stratospheric data is used - which might not be the best choice since troposheric information is completely ignored - but it is a plausible test of nonlocal predictability in the stratosphere. To evaluate seasonal predictions, the full year 2015 is used a validation set, which is also good because 2015 had extreme winds in the stratosphere during DJF. Input set can be variable with this dataset. Right now only u,v,theta are input. Should extend it to include w and N2 later. Output is UW and VW.
Done
Region: 1andes
total_time=2.732781410217285
Input dim: 183, hidden dim: 732, output dim: 120
model1 created. 
 --- model1 size: 9.55 MBs,
 --- Num params: 2.495 mil. 
Training...
Epoch 1, 1/100, training error: 0.256629, testing error: 0.254138
Epoch 2, 2/100, training error: 0.247205, testing error: 0.254340
Epoch 3, 3/100, training error: 0.244531, testing error: 0.247444
Epoch 4, 4/100, training error: 0.242082, testing error: 0.245223
Epoch 5, 5/100, training error: 0.240513, testing error: 0.244854
Epoch 6, 6/100, training error: 0.239539, testing error: 0.243678
Epoch 7, 7/100, training error: 0.238520, testing error: 0.241059
Epoch 8, 8/100, training error: 0.237959, testing error: 0.241604
Epoch 9, 9/100, training error: 0.237302, testing error: 0.241438
Epoch 10, 10/100, training error: 0.236962, testing error: 0.240003
Epoch 11, 11/100, training error: 0.236615, testing error: 0.240002
Epoch 12, 12/100, training error: 0.235933, testing error: 0.240735
Epoch 13, 13/100, training error: 0.235810, testing error: 0.239674
Epoch 14, 14/100, training error: 0.235342, testing error: 0.237697
Epoch 15, 15/100, training error: 0.235165, testing error: 0.239023
Epoch 16, 16/100, training error: 0.234577, testing error: 0.238959
Epoch 17, 17/100, training error: 0.234388, testing error: 0.237352
Epoch 18, 18/100, training error: 0.234181, testing error: 0.238050
Epoch 19, 19/100, training error: 0.233716, testing error: 0.238207
Epoch 20, 20/100, training error: 0.233659, testing error: 0.237360
Epoch 21, 21/100, training error: 0.233379, testing error: 0.235823
Epoch 22, 22/100, training error: 0.233103, testing error: 0.237400
Epoch 23, 23/100, training error: 0.232843, testing error: 0.236595
Epoch 24, 24/100, training error: 0.232650, testing error: 0.235523
Epoch 25, 25/100, training error: 0.232555, testing error: 0.236680
